filename,labels,type,length,aug_type
W_001\1-10-aug_12_scale_1.2.npz,W_001,train,84,aug_12_scale_1.2
W_001\1-10-aug_13_occlusion_0.1&landmark_drop_0.2.npz,W_001,train,84,aug_13_occlusion_0.1&landmark_drop_0.2
W_001\1-10-aug_14_time_reverse_None.npz,W_001,train,84,aug_14_time_reverse_None
W_001\1-11-original.npz,W_001,val,90,original
W_001\1-11-aug_1_jitter_0.025&scale_0.8.npz,W_001,val,90,aug_1_jitter_0.025&scale_0.8
W_001\1-11-aug_2_jitter_0.015&occlusion_0.05.npz,W_001,val,90,aug_2_jitter_0.015&occlusion_0.05
W_001\1-11-aug_3_jitter_0.025&occlusion_0.1.npz,W_001,val,90,aug_3_jitter_0.025&occlusion_0.1
W_001\1-11-aug_4_time_reverse_None&scale_0.8.npz,W_001,val,90,aug_4_time_reverse_None&scale_0.8
W_001\1-11-aug_5_jitter_0.025.npz,W_001,val,90,aug_5_jitter_0.025
W_001\1-11-aug_6_time_reverse_None.npz,W_001,val,90,aug_6_time_reverse_None
W_001\1-11-aug_7_landmark_drop_0.1.npz,W_001,val,90,aug_7_landmark_drop_0.1
W_001\1-11-aug_8_scale_1.2.npz,W_001,val,90,aug_8_scale_1.2
W_001\1-11-aug_9_time_warp_1.2&time_warp_0.8.npz,W_001,val,86,aug_9_time_warp_1.2&time_warp_0.8
W_001\1-11-aug_10_time_warp_0.8&time_reverse_None.npz,W_001,val,72,aug_10_time_warp_0.8&time_reverse_None
W_001\1-11-aug_11_scale_1.2&time_warp_0.8.npz,W_001,val,72,aug_11_scale_1.2&time_warp_0.8
W_001\1-11-aug_12_jitter_0.015&jitter_0.025.npz,W_001,val,90,aug_12_jitter_0.015&jitter_0.025
W_001\1-11-aug_13_time_warp_1.2&rotate_-5.npz,W_001,val,108,aug_13_time_warp_1.2&rotate_-5
W_001\1-11-aug_14_jitter_0.025&time_reverse_None.npz,W_001,val,90,aug_14_jitter_0.025&time_reverse_None
W_001\1-12-original.npz,W_001,train,56,original
W_001\1-12-aug_1_rotate_5&occlusion_0.1.npz,W_001,train,56,aug_1_rotate_5&occlusion_0.1
W_001\1-12-aug_2_landmark_drop_0.2.npz,W_001,train,56,aug_2_landmark_drop_0.2
W_001\1-12-aug_3_time_reverse_None&landmark_drop_0.1.npz,W_001,train,56,aug_3_time_reverse_None&landmark_drop_0.1
W_001\1-12-aug_4_jitter_0.015.npz,W_001,train,56,aug_4_jitter_0.015
W_001\1-12-aug_5_time_reverse_None.npz,W_001,train,56,aug_5_time_reverse_None
W_001\1-12-aug_6_jitter_0.015&occlusion_0.1.npz,W_001,train,56,aug_6_jitter_0.015&occlusion_0.1
W_001\1-12-aug_7_landmark_drop_0.2.npz,W_001,train,56,aug_7_landmark_drop_0.2
W_001\1-12-aug_8_time_warp_1.2.npz,W_001,train,67,aug_8_time_warp_1.2
W_001\1-12-aug_9_scale_1.2&occlusion_0.1.npz,W_001,train,56,aug_9_scale_1.2&occlusion_0.1
W_001\1-12-aug_10_rotate_5&rotate_-5.npz,W_001,train,56,aug_10_rotate_5&rotate_-5
W_001\1-12-aug_11_occlusion_0.1&landmark_drop_0.1.npz,W_001,train,56,aug_11_occlusion_0.1&landmark_drop_0.1
W_001\1-12-aug_12_jitter_0.015.npz,W_001,train,56,aug_12_jitter_0.015
W_001\1-12-aug_13_scale_1.2.npz,W_001,train,56,aug_13_scale_1.2
W_001\1-12-aug_14_jitter_0.015&scale_1.2.npz,W_001,train,56,aug_14_jitter_0.015&scale_1.2
W_001\1-13-original.npz,W_001,test,77,original
W_001\1-13-aug_1_jitter_0.025.npz,W_001,test,77,aug_1_jitter_0.025
W_001\1-13-aug_2_landmark_drop_0.1.npz,W_001,test,77,aug_2_landmark_drop_0.1
W_001\1-13-aug_3_time_warp_0.8&scale_0.8.npz,W_001,test,61,aug_3_time_warp_0.8&scale_0.8
W_001\1-13-aug_4_time_reverse_None.npz,W_001,test,77,aug_4_time_reverse_None
W_001\1-13-aug_5_time_warp_0.8&landmark_drop_0.1.npz,W_001,test,61,aug_5_time_warp_0.8&landmark_drop_0.1
W_001\1-13-aug_6_occlusion_0.05.npz,W_001,test,77,aug_6_occlusion_0.05
W_001\1-13-aug_7_landmark_drop_0.1&scale_0.8.npz,W_001,test,77,aug_7_landmark_drop_0.1&scale_0.8
W_001\1-13-aug_8_rotate_-5&scale_1.2.npz,W_001,test,77,aug_8_rotate_-5&scale_1.2
W_001\1-13-aug_9_time_warp_1.2&scale_0.8.npz,W_001,test,92,aug_9_time_warp_1.2&scale_0.8
W_001\1-13-aug_10_time_warp_0.8&occlusion_0.1.npz,W_001,test,61,aug_10_time_warp_0.8&occlusion_0.1
W_001\1-13-aug_11_occlusion_0.05&time_reverse_None.npz,W_001,test,77,aug_11_occlusion_0.05&time_reverse_None
W_001\1-13-aug_12_time_warp_0.8&time_reverse_None.npz,W_001,test,61,aug_12_time_warp_0.8&time_reverse_None
W_001\1-13-aug_13_mirror_None&rotate_-5.npz,W_001,test,77,aug_13_mirror_None&rotate_-5
W_001\1-13-aug_14_mirror_None&landmark_drop_0.2.npz,W_001,test,77,aug_14_mirror_None&landmark_drop_0.2
W_001\1-14-original.npz,W_001,train,103,original
W_001\1-14-aug_1_jitter_0.015.npz,W_001,train,103,aug_1_jitter_0.015
W_001\1-14-aug_2_scale_1.2&mirror_None.npz,W_001,train,103,aug_2_scale_1.2&mirror_None
W_001\1-14-aug_3_occlusion_0.05.npz,W_001,train,103,aug_3_occlusion_0.05
W_001\1-14-aug_4_jitter_0.025.npz,W_001,train,103,aug_4_jitter_0.025
W_001\1-14-aug_5_scale_1.2&time_warp_0.8.npz,W_001,train,82,aug_5_scale_1.2&time_warp_0.8
W_001\1-14-aug_6_landmark_drop_0.1.npz,W_001,train,103,aug_6_landmark_drop_0.1
W_001\1-14-aug_7_scale_1.2.npz,W_001,train,103,aug_7_scale_1.2
W_001\1-14-aug_8_rotate_-5&occlusion_0.05.npz,W_001,train,103,aug_8_rotate_-5&occlusion_0.05
W_001\1-14-aug_9_mirror_None.npz,W_001,train,103,aug_9_mirror_None
W_001\1-14-aug_10_occlusion_0.1.npz,W_001,train,103,aug_10_occlusion_0.1
W_001\1-14-aug_11_jitter_0.015&rotate_5.npz,W_001,train,103,aug_11_jitter_0.015&rotate_5
W_001\1-14-aug_12_jitter_0.025&occlusion_0.1.npz,W_001,train,103,aug_12_jitter_0.025&occlusion_0.1
W_001\1-14-aug_13_time_warp_0.8&time_warp_1.2.npz,W_001,train,98,aug_13_time_warp_0.8&time_warp_1.2
W_001\1-14-aug_14_time_reverse_None&jitter_0.025.npz,W_001,train,103,aug_14_time_reverse_None&jitter_0.025
W_001\1-15-original.npz,W_001,train,54,original
W_001\1-15-aug_1_time_warp_0.8&occlusion_0.05.npz,W_001,train,43,aug_1_time_warp_0.8&occlusion_0.05
W_001\1-15-aug_2_time_warp_1.2.npz,W_001,train,64,aug_2_time_warp_1.2
W_001\1-15-aug_3_time_warp_0.8.npz,W_001,train,43,aug_3_time_warp_0.8
W_001\1-15-aug_4_scale_1.2.npz,W_001,train,54,aug_4_scale_1.2
W_001\1-15-aug_5_scale_0.8.npz,W_001,train,54,aug_5_scale_0.8
W_001\1-15-aug_6_scale_1.2&jitter_0.015.npz,W_001,train,54,aug_6_scale_1.2&jitter_0.015
W_001\1-15-aug_7_scale_1.2&mirror_None.npz,W_001,train,54,aug_7_scale_1.2&mirror_None
W_001\1-15-aug_8_landmark_drop_0.2&occlusion_0.05.npz,W_001,train,54,aug_8_landmark_drop_0.2&occlusion_0.05
W_001\1-15-aug_9_rotate_5&landmark_drop_0.1.npz,W_001,train,54,aug_9_rotate_5&landmark_drop_0.1
W_001\1-15-aug_10_landmark_drop_0.1&time_warp_0.8.npz,W_001,train,43,aug_10_landmark_drop_0.1&time_warp_0.8
W_001\1-15-aug_11_jitter_0.025.npz,W_001,train,54,aug_11_jitter_0.025
W_001\1-15-aug_12_occlusion_0.1&jitter_0.025.npz,W_001,train,54,aug_12_occlusion_0.1&jitter_0.025
W_001\1-15-aug_13_occlusion_0.1&time_reverse_None.npz,W_001,train,54,aug_13_occlusion_0.1&time_reverse_None
W_001\1-15-aug_14_scale_1.2&time_warp_0.8.npz,W_001,train,43,aug_14_scale_1.2&time_warp_0.8
W_001\1-16-original.npz,W_001,train,95,original
W_001\1-16-aug_1_rotate_5.npz,W_001,train,95,aug_1_rotate_5
W_001\1-16-aug_2_jitter_0.025&occlusion_0.1.npz,W_001,train,95,aug_2_jitter_0.025&occlusion_0.1
W_001\1-16-aug_3_occlusion_0.1&jitter_0.025.npz,W_001,train,95,aug_3_occlusion_0.1&jitter_0.025
W_001\1-16-aug_4_jitter_0.015.npz,W_001,train,95,aug_4_jitter_0.015
W_001\1-16-aug_5_landmark_drop_0.1.npz,W_001,train,95,aug_5_landmark_drop_0.1
W_001\1-16-aug_6_time_warp_1.2&occlusion_0.1.npz,W_001,train,114,aug_6_time_warp_1.2&occlusion_0.1
W_001\1-16-aug_7_time_warp_1.2&rotate_5.npz,W_001,train,114,aug_7_time_warp_1.2&rotate_5
W_001\1-16-aug_8_time_warp_0.8&rotate_-5.npz,W_001,train,76,aug_8_time_warp_0.8&rotate_-5
W_001\1-16-aug_9_landmark_drop_0.1.npz,W_001,train,95,aug_9_landmark_drop_0.1
W_001\1-16-aug_10_occlusion_0.05&landmark_drop_0.2.npz,W_001,train,95,aug_10_occlusion_0.05&landmark_drop_0.2
W_001\1-16-aug_11_occlusion_0.1&jitter_0.025.npz,W_001,train,95,aug_11_occlusion_0.1&jitter_0.025
W_001\1-16-aug_12_mirror_None&jitter_0.015.npz,W_001,train,95,aug_12_mirror_None&jitter_0.015
W_001\1-16-aug_13_landmark_drop_0.2.npz,W_001,train,95,aug_13_landmark_drop_0.2
W_001\1-16-aug_14_time_warp_0.8.npz,W_001,train,76,aug_14_time_warp_0.8
W_001\1-17-original.npz,W_001,train,100,original
W_001\1-17-aug_1_scale_0.8&mirror_None.npz,W_001,train,100,aug_1_scale_0.8&mirror_None
W_001\1-17-aug_2_mirror_None&occlusion_0.05.npz,W_001,train,100,aug_2_mirror_None&occlusion_0.05
W_001\1-17-aug_3_time_reverse_None&landmark_drop_0.1.npz,W_001,train,100,aug_3_time_reverse_None&landmark_drop_0.1
W_001\1-17-aug_4_jitter_0.025.npz,W_001,train,100,aug_4_jitter_0.025
W_001\1-17-aug_5_scale_0.8.npz,W_001,train,100,aug_5_scale_0.8
W_001\1-17-aug_6_landmark_drop_0.2.npz,W_001,train,100,aug_6_landmark_drop_0.2
W_001\1-17-aug_7_mirror_None&scale_0.8.npz,W_001,train,100,aug_7_mirror_None&scale_0.8
W_001\1-17-aug_8_scale_1.2&rotate_-5.npz,W_001,train,100,aug_8_scale_1.2&rotate_-5
W_001\1-17-aug_9_time_warp_1.2.npz,W_001,train,120,aug_9_time_warp_1.2
W_001\1-17-aug_10_mirror_None.npz,W_001,train,100,aug_10_mirror_None
W_001\1-17-aug_11_scale_1.2&time_warp_1.2.npz,W_001,train,120,aug_11_scale_1.2&time_warp_1.2
W_001\1-17-aug_12_scale_0.8&scale_1.2.npz,W_001,train,100,aug_12_scale_0.8&scale_1.2
W_001\1-17-aug_13_jitter_0.015&landmark_drop_0.2.npz,W_001,train,100,aug_13_jitter_0.015&landmark_drop_0.2
W_001\1-17-aug_14_rotate_-5&occlusion_0.1.npz,W_001,train,100,aug_14_rotate_-5&occlusion_0.1
W_001\1-18-original.npz,W_001,train,56,original
W_001\1-18-aug_1_rotate_-5.npz,W_001,train,56,aug_1_rotate_-5
W_001\1-18-aug_2_time_warp_0.8&landmark_drop_0.1.npz,W_001,train,44,aug_2_time_warp_0.8&landmark_drop_0.1
W_001\1-18-aug_3_jitter_0.015.npz,W_001,train,56,aug_3_jitter_0.015
W_001\1-18-aug_4_jitter_0.025&rotate_-5.npz,W_001,train,56,aug_4_jitter_0.025&rotate_-5
W_001\1-18-aug_5_time_warp_0.8.npz,W_001,train,44,aug_5_time_warp_0.8
W_001\1-18-aug_6_occlusion_0.05.npz,W_001,train,56,aug_6_occlusion_0.05
W_001\1-18-aug_7_rotate_5&landmark_drop_0.1.npz,W_001,train,56,aug_7_rotate_5&landmark_drop_0.1
W_001\1-18-aug_8_time_reverse_None&rotate_5.npz,W_001,train,56,aug_8_time_reverse_None&rotate_5
W_001\1-18-aug_9_rotate_-5.npz,W_001,train,56,aug_9_rotate_-5
W_001\1-18-aug_10_time_reverse_None&scale_1.2.npz,W_001,train,56,aug_10_time_reverse_None&scale_1.2
W_001\1-18-aug_11_scale_1.2.npz,W_001,train,56,aug_11_scale_1.2
W_001\1-18-aug_12_rotate_5&occlusion_0.1.npz,W_001,train,56,aug_12_rotate_5&occlusion_0.1
W_001\1-18-aug_13_jitter_0.025&rotate_-5.npz,W_001,train,56,aug_13_jitter_0.025&rotate_-5
W_001\1-18-aug_14_mirror_None.npz,W_001,train,56,aug_14_mirror_None
W_001\1-19-original.npz,W_001,val,80,original
W_001\1-19-aug_1_occlusion_0.05&scale_1.2.npz,W_001,val,80,aug_1_occlusion_0.05&scale_1.2
W_001\1-19-aug_2_jitter_0.025.npz,W_001,val,80,aug_2_jitter_0.025
W_001\1-19-aug_3_mirror_None&jitter_0.025.npz,W_001,val,80,aug_3_mirror_None&jitter_0.025
W_001\1-19-aug_4_rotate_-5.npz,W_001,val,80,aug_4_rotate_-5
W_001\1-19-aug_5_rotate_-5&time_reverse_None.npz,W_001,val,80,aug_5_rotate_-5&time_reverse_None
W_001\1-19-aug_6_time_reverse_None.npz,W_001,val,80,aug_6_time_reverse_None
W_001\1-19-aug_7_time_reverse_None&time_warp_0.8.npz,W_001,val,64,aug_7_time_reverse_None&time_warp_0.8
W_001\1-19-aug_8_scale_0.8.npz,W_001,val,80,aug_8_scale_0.8
W_001\1-19-aug_9_time_warp_0.8.npz,W_001,val,64,aug_9_time_warp_0.8
W_001\1-19-aug_10_time_warp_0.8.npz,W_001,val,64,aug_10_time_warp_0.8
W_001\1-19-aug_11_scale_1.2.npz,W_001,val,80,aug_11_scale_1.2
W_001\1-19-aug_12_rotate_-5&scale_0.8.npz,W_001,val,80,aug_12_rotate_-5&scale_0.8
W_001\1-19-aug_13_time_reverse_None.npz,W_001,val,80,aug_13_time_reverse_None
W_001\1-19-aug_14_rotate_-5.npz,W_001,val,80,aug_14_rotate_-5
W_001\1-2-original.npz,W_001,train,96,original
W_001\1-2-aug_1_time_warp_0.8.npz,W_001,train,76,aug_1_time_warp_0.8
W_001\1-2-aug_2_scale_1.2&landmark_drop_0.1.npz,W_001,train,96,aug_2_scale_1.2&landmark_drop_0.1
W_001\1-2-aug_3_scale_1.2&time_reverse_None.npz,W_001,train,96,aug_3_scale_1.2&time_reverse_None
W_001\1-2-aug_4_scale_1.2.npz,W_001,train,96,aug_4_scale_1.2
W_001\1-2-aug_5_occlusion_0.1&rotate_-5.npz,W_001,train,96,aug_5_occlusion_0.1&rotate_-5
W_001\1-2-aug_6_mirror_None.npz,W_001,train,96,aug_6_mirror_None
W_001\1-2-aug_7_scale_1.2&occlusion_0.05.npz,W_001,train,96,aug_7_scale_1.2&occlusion_0.05
W_001\1-2-aug_8_scale_0.8&scale_1.2.npz,W_001,train,96,aug_8_scale_0.8&scale_1.2
W_001\1-2-aug_9_occlusion_0.1&jitter_0.025.npz,W_001,train,96,aug_9_occlusion_0.1&jitter_0.025
W_001\1-2-aug_10_time_warp_0.8.npz,W_001,train,76,aug_10_time_warp_0.8
W_001\1-2-aug_11_occlusion_0.1.npz,W_001,train,96,aug_11_occlusion_0.1
W_001\1-2-aug_12_time_reverse_None.npz,W_001,train,96,aug_12_time_reverse_None
W_001\1-2-aug_13_jitter_0.015&mirror_None.npz,W_001,train,96,aug_13_jitter_0.015&mirror_None
W_001\1-2-aug_14_time_reverse_None&rotate_-5.npz,W_001,train,96,aug_14_time_reverse_None&rotate_-5
W_001\1-20-original.npz,W_001,train,79,original
W_001\1-20-aug_1_occlusion_0.05.npz,W_001,train,79,aug_1_occlusion_0.05
W_001\1-20-aug_2_landmark_drop_0.1&occlusion_0.1.npz,W_001,train,79,aug_2_landmark_drop_0.1&occlusion_0.1
W_001\1-20-aug_3_scale_0.8.npz,W_001,train,79,aug_3_scale_0.8
W_001\1-20-aug_4_jitter_0.015.npz,W_001,train,79,aug_4_jitter_0.015
W_001\1-20-aug_5_jitter_0.015.npz,W_001,train,79,aug_5_jitter_0.015
W_001\1-20-aug_6_mirror_None&landmark_drop_0.1.npz,W_001,train,79,aug_6_mirror_None&landmark_drop_0.1
W_001\1-20-aug_7_time_warp_1.2.npz,W_001,train,94,aug_7_time_warp_1.2
W_001\1-20-aug_8_landmark_drop_0.2.npz,W_001,train,79,aug_8_landmark_drop_0.2
W_001\1-20-aug_9_scale_0.8&landmark_drop_0.1.npz,W_001,train,79,aug_9_scale_0.8&landmark_drop_0.1
W_001\1-20-aug_10_time_reverse_None&occlusion_0.05.npz,W_001,train,79,aug_10_time_reverse_None&occlusion_0.05
W_001\1-20-aug_11_landmark_drop_0.1&rotate_-5.npz,W_001,train,79,aug_11_landmark_drop_0.1&rotate_-5
W_001\1-20-aug_12_jitter_0.025&rotate_5.npz,W_001,train,79,aug_12_jitter_0.025&rotate_5
W_001\1-20-aug_13_occlusion_0.05&rotate_-5.npz,W_001,train,79,aug_13_occlusion_0.05&rotate_-5
W_001\1-20-aug_14_landmark_drop_0.1&jitter_0.015.npz,W_001,train,79,aug_14_landmark_drop_0.1&jitter_0.015
W_001\1-21-original.npz,W_001,train,52,original
W_001\1-21-aug_1_rotate_-5&landmark_drop_0.1.npz,W_001,train,52,aug_1_rotate_-5&landmark_drop_0.1
W_001\1-21-aug_2_occlusion_0.05.npz,W_001,train,52,aug_2_occlusion_0.05
W_001\1-21-aug_3_jitter_0.025.npz,W_001,train,52,aug_3_jitter_0.025
W_001\1-21-aug_4_mirror_None&scale_0.8.npz,W_001,train,52,aug_4_mirror_None&scale_0.8
W_001\1-21-aug_5_scale_1.2&jitter_0.025.npz,W_001,train,52,aug_5_scale_1.2&jitter_0.025
W_001\1-21-aug_6_scale_1.2&time_warp_0.8.npz,W_001,train,41,aug_6_scale_1.2&time_warp_0.8
W_001\1-21-aug_7_scale_1.2&landmark_drop_0.2.npz,W_001,train,52,aug_7_scale_1.2&landmark_drop_0.2
W_001\1-21-aug_8_scale_0.8.npz,W_001,train,52,aug_8_scale_0.8
W_001\1-21-aug_9_rotate_-5.npz,W_001,train,52,aug_9_rotate_-5
W_001\1-21-aug_10_jitter_0.025&rotate_-5.npz,W_001,train,52,aug_10_jitter_0.025&rotate_-5
W_001\1-21-aug_11_occlusion_0.1.npz,W_001,train,52,aug_11_occlusion_0.1
W_001\1-21-aug_12_jitter_0.025&occlusion_0.1.npz,W_001,train,52,aug_12_jitter_0.025&occlusion_0.1
W_001\1-21-aug_13_scale_0.8.npz,W_001,train,52,aug_13_scale_0.8
W_001\1-21-aug_14_landmark_drop_0.2&jitter_0.015.npz,W_001,train,52,aug_14_landmark_drop_0.2&jitter_0.015
W_001\1-22-original.npz,W_001,test,81,original
W_001\1-22-aug_1_time_reverse_None.npz,W_001,test,81,aug_1_time_reverse_None
W_001\1-22-aug_2_scale_1.2&occlusion_0.05.npz,W_001,test,81,aug_2_scale_1.2&occlusion_0.05
W_001\1-22-aug_3_scale_1.2&mirror_None.npz,W_001,test,81,aug_3_scale_1.2&mirror_None
W_001\1-22-aug_4_scale_0.8.npz,W_001,test,81,aug_4_scale_0.8
W_001\1-22-aug_5_scale_1.2.npz,W_001,test,81,aug_5_scale_1.2
W_001\1-22-aug_6_scale_0.8&occlusion_0.05.npz,W_001,test,81,aug_6_scale_0.8&occlusion_0.05
W_001\1-22-aug_7_jitter_0.025&rotate_5.npz,W_001,test,81,aug_7_jitter_0.025&rotate_5
W_001\1-22-aug_8_time_warp_0.8&mirror_None.npz,W_001,test,64,aug_8_time_warp_0.8&mirror_None
W_001\1-22-aug_9_rotate_-5&scale_1.2.npz,W_001,test,81,aug_9_rotate_-5&scale_1.2
W_001\1-22-aug_10_scale_1.2&rotate_-5.npz,W_001,test,81,aug_10_scale_1.2&rotate_-5
W_001\1-22-aug_11_time_warp_0.8&occlusion_0.05.npz,W_001,test,64,aug_11_time_warp_0.8&occlusion_0.05
W_001\1-22-aug_12_occlusion_0.1.npz,W_001,test,81,aug_12_occlusion_0.1
W_001\1-22-aug_13_time_reverse_None&landmark_drop_0.2.npz,W_001,test,81,aug_13_time_reverse_None&landmark_drop_0.2
W_001\1-22-aug_14_jitter_0.025.npz,W_001,test,81,aug_14_jitter_0.025
W_001\1-23-original.npz,W_001,train,96,original
W_001\1-23-aug_1_rotate_5&rotate_-5.npz,W_001,train,96,aug_1_rotate_5&rotate_-5
W_001\1-23-aug_2_time_warp_0.8.npz,W_001,train,76,aug_2_time_warp_0.8
W_001\1-23-aug_3_scale_1.2.npz,W_001,train,96,aug_3_scale_1.2
W_001\1-23-aug_4_rotate_5&scale_1.2.npz,W_001,train,96,aug_4_rotate_5&scale_1.2
W_001\1-23-aug_5_rotate_5.npz,W_001,train,96,aug_5_rotate_5
W_001\1-23-aug_6_jitter_0.015.npz,W_001,train,96,aug_6_jitter_0.015
W_001\1-23-aug_7_landmark_drop_0.2.npz,W_001,train,96,aug_7_landmark_drop_0.2
W_001\1-23-aug_8_mirror_None.npz,W_001,train,96,aug_8_mirror_None
W_001\1-23-aug_9_scale_0.8&occlusion_0.1.npz,W_001,train,96,aug_9_scale_0.8&occlusion_0.1
W_001\1-23-aug_10_time_reverse_None&rotate_-5.npz,W_001,train,96,aug_10_time_reverse_None&rotate_-5
W_001\1-23-aug_11_jitter_0.015&rotate_-5.npz,W_001,train,96,aug_11_jitter_0.015&rotate_-5
W_001\1-23-aug_12_time_warp_0.8.npz,W_001,train,76,aug_12_time_warp_0.8
W_001\1-23-aug_13_scale_1.2&landmark_drop_0.1.npz,W_001,train,96,aug_13_scale_1.2&landmark_drop_0.1
W_001\1-23-aug_14_occlusion_0.05.npz,W_001,train,96,aug_14_occlusion_0.05
W_001\1-24-original.npz,W_001,train,50,original
W_001\1-24-aug_1_occlusion_0.1&occlusion_0.05.npz,W_001,train,50,aug_1_occlusion_0.1&occlusion_0.05
W_001\1-24-aug_2_jitter_0.015&landmark_drop_0.1.npz,W_001,train,50,aug_2_jitter_0.015&landmark_drop_0.1
W_001\1-24-aug_3_rotate_5&landmark_drop_0.2.npz,W_001,train,50,aug_3_rotate_5&landmark_drop_0.2
W_001\1-24-aug_4_jitter_0.025&rotate_5.npz,W_001,train,50,aug_4_jitter_0.025&rotate_5
W_001\1-24-aug_5_time_warp_0.8.npz,W_001,train,40,aug_5_time_warp_0.8
W_001\1-24-aug_6_time_warp_1.2&time_warp_0.8.npz,W_001,train,48,aug_6_time_warp_1.2&time_warp_0.8
W_001\1-24-aug_7_jitter_0.025&rotate_5.npz,W_001,train,50,aug_7_jitter_0.025&rotate_5
W_001\1-24-aug_8_scale_1.2.npz,W_001,train,50,aug_8_scale_1.2
W_001\1-24-aug_9_jitter_0.015.npz,W_001,train,50,aug_9_jitter_0.015
W_001\1-24-aug_10_scale_0.8&mirror_None.npz,W_001,train,50,aug_10_scale_0.8&mirror_None
W_001\1-24-aug_11_occlusion_0.1.npz,W_001,train,50,aug_11_occlusion_0.1
W_001\1-24-aug_12_time_warp_1.2&jitter_0.025.npz,W_001,train,60,aug_12_time_warp_1.2&jitter_0.025
W_001\1-24-aug_13_occlusion_0.05.npz,W_001,train,50,aug_13_occlusion_0.05
W_001\1-24-aug_14_jitter_0.025.npz,W_001,train,50,aug_14_jitter_0.025
W_001\1-25-original.npz,W_001,test,66,original
W_001\1-25-aug_1_time_reverse_None&time_warp_1.2.npz,W_001,test,79,aug_1_time_reverse_None&time_warp_1.2
W_001\1-25-aug_2_jitter_0.025&time_warp_1.2.npz,W_001,test,79,aug_2_jitter_0.025&time_warp_1.2
W_001\1-25-aug_3_landmark_drop_0.1.npz,W_001,test,66,aug_3_landmark_drop_0.1
W_001\1-25-aug_4_jitter_0.015.npz,W_001,test,66,aug_4_jitter_0.015
W_001\1-25-aug_5_scale_1.2.npz,W_001,test,66,aug_5_scale_1.2
W_001\1-25-aug_6_landmark_drop_0.1&time_warp_0.8.npz,W_001,test,52,aug_6_landmark_drop_0.1&time_warp_0.8
W_001\1-25-aug_7_occlusion_0.1&jitter_0.025.npz,W_001,test,66,aug_7_occlusion_0.1&jitter_0.025
W_001\1-25-aug_8_landmark_drop_0.1.npz,W_001,test,66,aug_8_landmark_drop_0.1
W_001\1-25-aug_9_jitter_0.015&mirror_None.npz,W_001,test,66,aug_9_jitter_0.015&mirror_None
W_001\1-25-aug_10_landmark_drop_0.1&time_warp_0.8.npz,W_001,test,52,aug_10_landmark_drop_0.1&time_warp_0.8
W_001\1-25-aug_11_scale_1.2.npz,W_001,test,66,aug_11_scale_1.2
W_001\1-25-aug_12_mirror_None.npz,W_001,test,66,aug_12_mirror_None
